ZIP Code,Ward,Police District,Latitude,Longitude
60608,25,10,41.85218729,-87.66775694
60647,1,14,41.91041094,-87.68889915
60601,42,1,41.88549078,-87.63082227
60649,5,3,41.76581642,-87.57614548
60615,4,2,41.79529732,-87.58782256
60660,48,24,41.99304518,-87.66021355
60643,19,22,41.67798852,-87.68057984
60609,3,2,41.79623488,-87.63040492
60629,13,8,41.78604516,-87.72302643
60654,42,18,41.89363229,-87.63103001
60614,43,18,41.91120047,-87.63456506
60657,44,19,41.93285982,-87.64473246
60601,42,1,41.88452436,-87.62776455
60629,15,8,41.77842134,-87.70297606
60657,44,19,41.93769388,-87.64934142
60654,42,18,41.89363229,-87.63103001
60660,48,20,41.98425875,-87.66086972
60647,32,14,41.91060814,-87.67757728
60617,10,4,41.70262669,-87.53601472
60647,1,14,41.91766694,-87.68853418
60613,46,19,41.95438385,-87.65419529
60618,47,19,41.94296486,-87.68832147
60649,5,4,41.75739621,-87.58625101
60612,2,13,41.8812841,-87.68562042
60611,42,18,41.89029965,-87.62425466
60609,3,9,41.81117574,-87.63328114
60602,42,1,41.88275463,-87.62453528
60626,49,24,42.01632849,-87.67539827
60614,43,18,41.91120047,-87.63456506
60609,3,9,41.80881504,-87.64568295
60657,44,19,41.93769388,-87.64934142
60603,42,1,41.87956244,-87.6283392
60623,22,10,41.84414469,-87.72477825
60623,12,10,41.84446925,-87.70193021
60643,34,5,41.68495486,-87.64347112
60614,43,18,41.91120047,-87.63456506
60638,23,8,41.79867203,-87.74359878
60656,41,16,41.97538461,-87.80694898
60638,23,8,41.79591839,-87.76178079
60618,33,17,41.95381203,-87.7077171
60619,6,6,41.7580961,-87.62420813
60640,46,19,41.96536653,-87.65176024
60606,2,1,41.87813818,-87.637065
60629,13,8,41.76458961,-87.7222396
60631,41,16,42.01152314,-87.81842224
60641,39,17,41.95353736,-87.72769519
60644,28,15,41.8804685,-87.756134
60649,5,3,41.76592995,-87.58000943
60640,46,19,41.96536653,-87.65176024
60640,47,19,41.96536418,-87.66787952
60620,18,8,41.75006036,-87.68269913
60617,7,4,41.72833654,-87.55286024
60614,32,19,41.92528231,-87.66661708
60641,45,16,41.95467941,-87.74748532
60638,23,8,41.79867203,-87.74359878
60610,42,18,41.90003788,-87.62814585
60610,42,18,41.90401478,-87.63013572
60651,37,15,41.89496969,-87.76440077
60625,40,20,41.97576,-87.69249406
60618,47,19,41.94296486,-87.68832147
60651,37,15,41.89496969,-87.76440077
60660,48,20,41.98425875,-87.66086972
60643,19,22,41.70626826,-87.68097506
60652,18,8,41.74969024,-87.72123627
60637,5,3,41.77230508,-87.58740138
60620,21,22,41.7299276,-87.66274575
60616,4,2,41.8326245,-87.6168411
60616,25,9,41.8529915,-87.63554385
60643,19,22,41.70927502,-87.67003299
60617,10,4,41.70262669,-87.53601472
60623,12,10,41.84446925,-87.70193021
60631,41,16,42.01152314,-87.81842224
60606,42,1,41.88457398,-87.63508283
60610,42,18,41.90003788,-87.62814585
60634,38,16,41.93865914,-87.76855864
60651,37,15,41.89496969,-87.76440077
60617,7,4,41.72236398,-87.57489877
60626,49,24,42.01632849,-87.67539827
60647,32,14,41.91060814,-87.67757728
60659,40,20,41.99029969,-87.70513321
60612,2,13,41.8812841,-87.68562042
60657,44,19,41.93980098,-87.65416109
60618,33,17,41.95381203,-87.7077171
60638,23,8,41.79591839,-87.76178079
60607,2,1,41.86714316,-87.63929317
60616,4,2,41.8326245,-87.6168411
60620,21,6,41.75038047,-87.65429993
60644,28,15,41.8804685,-87.756134
60621,16,7,41.77990486,-87.64185815
60649,8,4,41.75150394,-87.57532855
60649,5,3,41.76581642,-87.57614548
60634,38,16,41.93865914,-87.76855864
60621,20,7,41.77847294,-87.64460838
60606,2,1,41.88183547,-87.63389739
60632,14,8,41.80777906,-87.72284695
60628,9,5,41.68913818,-87.62086262
60628,9,5,41.70718218,-87.62036149
60632,12,9,41.82440547,-87.71160875
60620,21,22,41.72194754,-87.64337198
60645,50,24,42.01801744,-87.69033737
60656,41,16,41.97538461,-87.80694898
60634,38,16,41.95997195,-87.76707886
60639,30,25,41.9240902,-87.76605353
60647,35,14,41.93160795,-87.69775578
60630,39,17,41.96834599,-87.72851802
60637,5,3,41.77230508,-87.58740138
60609,3,2,41.80181109,-87.63056018
60639,31,25,41.92579049,-87.74869168
60609,3,9,41.80870195,-87.66558301
60619,6,6,41.7580961,-87.62420813
60617,10,4,41.68085614,-87.5399566
60634,38,16,41.95854835,-87.78691899
60660,48,24,41.99304518,-87.66021355
60639,31,25,41.92411902,-87.74703214
60618,33,17,41.94808109,-87.70771258
60632,14,9,41.79438342,-87.7034374
60649,5,4,41.75739621,-87.58625101
60638,23,8,41.79591839,-87.76178079
60606,2,1,41.87813818,-87.637065
60611,42,18,41.89114733,-87.61839727
60608,25,10,41.8520837,-87.67465102
60617,10,4,41.70262669,-87.53601472
60639,30,25,41.9240902,-87.76605353
60655,19,22,41.69166492,-87.70175367
60625,40,20,41.97576,-87.69249406
60707,36,25,41.92376935,-87.7876261
60629,13,8,41.76458961,-87.7222396
60649,5,4,41.75739621,-87.58625101
60612,2,13,41.8812841,-87.68562042
60622,1,14,41.90665738,-87.67187112
60660,48,24,41.99304518,-87.66021355
60609,11,9,41.830515,-87.67392407
60606,42,1,41.88457398,-87.63508283
60657,44,19,41.94010202,-87.64425441
60614,32,19,41.92528231,-87.66661708
60619,6,6,41.7375814,-87.60499623
60646,41,16,41.99592392,-87.78763799
60639,30,25,41.91071448,-87.72621042
60617,10,4,41.70262669,-87.53601472
60653,4,2,41.80978115,-87.59421281
60628,9,5,41.70718218,-87.62036149
60603,42,1,41.87956244,-87.6283392
60632,14,9,41.79438342,-87.7034374
60652,18,8,41.74969024,-87.72123627
60642,27,13,41.89600286,-87.66478003
60629,13,8,41.78604516,-87.72302643
60639,30,25,41.9240902,-87.76605353
60618,47,19,41.93955208,-87.68995659
60619,6,6,41.7375814,-87.60499623
60611,42,18,41.89641068,-87.6241333
60647,32,14,41.91060814,-87.67757728
60639,30,25,41.9240902,-87.76605353
60632,14,9,41.79438342,-87.7034374
60660,48,20,41.98425875,-87.66086972
60643,19,22,41.70626826,-87.68097506
60628,34,22,41.70080096,-87.64279017
60649,5,4,41.75739621,-87.58625101
60637,5,3,41.77230508,-87.58740138
60610,42,18,41.90401478,-87.63013572
60634,38,16,41.93865914,-87.76855864
60640,40,20,41.98108996,-87.66852633
60653,3,2,41.8203495,-87.61651411
60645,50,24,42.01801744,-87.69033737
60606,42,1,41.88457398,-87.63508283
60620,18,6,41.73650146,-87.66322829
60632,14,8,41.80614219,-87.7174279
60606,42,1,41.88457398,-87.63508283
60654,42,18,41.89645506,-87.63634743
60603,42,1,41.8805885,-87.63070954
60601,42,1,41.8868758,-87.62468519
60640,40,20,41.98108996,-87.66852633
60651,37,15,41.89496969,-87.76440077
60608,25,10,41.8520837,-87.67465102
60647,35,14,41.93160795,-87.69775578
60640,47,19,41.96536418,-87.66787952
60639,37,25,41.90974167,-87.74563748
60652,13,8,41.75466012,-87.74138476
60647,32,14,41.91060814,-87.67757728
60613,46,19,41.95438385,-87.65419529
60657,44,19,41.93769388,-87.64934142
60603,42,1,41.87956244,-87.6283392
60608,11,9,41.83977195,-87.64646751
60618,33,17,41.96064588,-87.70808151
60659,40,20,41.99029969,-87.70513321
60622,1,13,41.89615084,-87.66925048
60617,8,4,41.73703983,-87.58447691
60614,32,19,41.92528231,-87.66661708
60620,21,6,41.75038047,-87.65429993
60611,42,18,41.89114733,-87.61839727
60609,,,41.82483076,-87.68501528
60641,31,25,41.93872475,-87.74624148
60601,42,1,41.88549078,-87.63082227
60634,38,16,41.95997195,-87.76707886
60614,32,19,41.92528231,-87.66661708
60609,11,9,41.830515,-87.67392407
60603,42,1,41.8805885,-87.63070954
60618,47,19,41.95393808,-87.68609929
60657,44,19,41.93980098,-87.65416109
60618,33,17,41.96064588,-87.70808151
60655,19,22,41.69166492,-87.70175367
60657,44,19,41.94010202,-87.64425441
60646,41,16,41.99592392,-87.78763799
60625,47,20,41.96869203,-87.68845932
60657,32,19,41.93956055,-87.67059269
60634,36,25,41.93804223,-87.79609241
60619,6,5,41.72177239,-87.61470316
60620,18,6,41.73650146,-87.66322829
60630,45,16,41.97530572,-87.76759302
60637,20,3,41.77874319,-87.60574677
60601,42,1,41.8868758,-87.62468519
60641,39,17,41.95353736,-87.72769519
60622,1,13,41.89615084,-87.66925048
60641,39,17,41.95353736,-87.72769519
60608,25,10,41.8520837,-87.67465102
60638,23,8,41.79591839,-87.76178079
60617,8,4,41.73703983,-87.58447691
60639,30,25,41.91071448,-87.72621042
60641,31,25,41.93872475,-87.74624148
60626,49,24,42.01632849,-87.67539827
60601,42,1,41.88452436,-87.62776455
60618,47,19,41.95393808,-87.68609929
60610,42,18,41.90401478,-87.63013572
60628,9,5,41.69322382,-87.62118667
60612,2,13,41.8812841,-87.68562042
60634,38,16,41.94567363,-87.77547129
60625,40,20,41.97576,-87.69249406
60629,15,8,41.77842134,-87.70297606
60618,47,19,41.95393808,-87.68609929
60616,25,9,41.8529915,-87.63554385
60632,14,9,41.79438342,-87.7034374
60644,29,15,41.88806697,-87.77279228
60622,1,13,41.89615084,-87.66925048
60630,45,16,41.97530572,-87.76759302
60609,3,2,41.79623488,-87.63040492
60616,4,2,41.8326245,-87.6168411
60643,19,22,41.70626826,-87.68097506
60603,42,1,41.8805885,-87.63070954
60601,42,1,41.88452436,-87.62776455
60640,46,19,41.96805305,-87.64947456
60637,5,3,41.77230508,-87.58740138
60611,42,18,41.89479837,-87.61586665
60641,45,16,41.95467941,-87.74748532
60656,41,16,41.98100034,-87.80590547
60601,42,1,41.8868758,-87.62468519
60617,10,4,41.68085614,-87.5399566
60614,43,19,41.9316042,-87.64459203
60614,44,19,41.93284756,-87.64817036
60619,6,5,41.72177239,-87.61470316
60610,42,18,41.90003788,-87.62814585
60611,42,18,41.89114733,-87.61839727
60638,23,8,41.77795816,-87.7722942
60618,31,17,41.93953549,-87.72480654
60625,47,20,41.96869203,-87.68845932
60617,8,4,41.73703983,-87.58447691
60613,46,19,41.95438385,-87.65419529
60620,21,22,41.72194754,-87.64337198
60609,3,9,41.80870195,-87.66558301
60605,2,1,41.86752386,-87.62738386
60609,3,2,41.79623488,-87.63040492
60659,40,20,41.99029969,-87.70513321
60655,19,22,41.69166492,-87.70175367
60615,4,2,41.80299057,-87.60657241
60614,43,18,41.91120047,-87.63456506
60608,11,9,41.83977195,-87.64646751
60609,3,9,41.80870195,-87.66558301
60618,35,17,41.93937033,-87.71356602
60615,4,2,41.79529732,-87.58782256
60634,38,16,41.95997195,-87.76707886
60602,42,1,41.88310862,-87.62846686
60657,44,19,41.93285982,-87.64473246
60611,42,18,41.89029965,-87.62425466
60707,36,25,41.92376935,-87.7876261
60655,19,22,41.69166492,-87.70175367
60657,32,19,41.93956055,-87.67059269
60617,7,4,41.72236398,-87.57489877
60647,35,14,41.91751848,-87.70576778
60647,35,14,41.93160795,-87.69775578
60619,6,6,41.7580961,-87.62420813
60643,34,5,41.68495486,-87.64347112
60602,42,1,41.88310862,-87.62846686
60653,4,2,41.80978115,-87.59421281
60615,4,2,41.79529732,-87.58782256
60639,31,25,41.93152062,-87.75561299
60620,21,6,41.75038047,-87.65429993
60638,23,8,41.79591839,-87.76178079
60601,42,1,41.8868758,-87.62468519
60634,38,16,41.95299922,-87.77257761
60634,36,16,41.94400913,-87.82748193
60643,19,22,41.72108279,-87.66418596
60639,29,25,41.90942609,-87.78349818
60618,31,17,41.93953549,-87.72480654
60629,23,8,41.79327456,-87.72766409
60618,47,19,41.94296486,-87.68832147
60639,30,25,41.91071448,-87.72621042
60601,42,1,41.8868758,-87.62468519
60630,45,16,41.97530572,-87.76759302
60654,42,18,41.89363229,-87.63103001
60623,12,10,41.84446925,-87.70193021
60623,12,10,41.84446925,-87.70193021
60661,27,12,41.88012878,-87.6471646
60632,14,8,41.81369495,-87.70465802
60629,23,8,41.79327456,-87.72766409
60608,11,9,41.83977195,-87.64646751
60659,40,20,41.98772317,-87.70313536
60629,15,8,41.77842134,-87.70297606
60640,47,19,41.96536418,-87.66787952
60617,7,4,41.72833654,-87.55286024
60639,30,25,41.9169782,-87.73260544
60620,17,6,41.75200035,-87.65363097
60611,42,18,41.89114733,-87.61839727
60661,27,12,41.88012878,-87.6471646
60647,35,14,41.91751848,-87.70576778
60610,42,18,41.90003788,-87.62814585
60629,13,8,41.78604516,-87.72302643
60630,45,16,41.97530572,-87.76759302
60659,50,24,41.99349103,-87.68989167
60647,1,14,41.91041094,-87.68889915
60618,31,17,41.93953549,-87.72480654
60657,44,19,41.93769388,-87.64934142
60608,11,9,41.83977195,-87.64646751
60608,25,12,41.85536389,-87.66593319
60657,44,19,41.93980098,-87.65416109
60641,31,25,41.93872475,-87.74624148
60632,14,8,41.80777906,-87.72284695
60637,20,3,41.77929761,-87.61574988
60613,46,19,41.94861474,-87.64819879
60651,37,15,41.89496969,-87.76440077
60614,44,19,41.93284756,-87.64817036
60639,30,25,41.91071448,-87.72621042
60614,44,19,41.93284756,-87.64817036
60620,18,6,41.73650146,-87.66322829
60647,30,25,41.93191327,-87.72598057
60647,35,14,41.92477742,-87.71169354
60602,42,1,41.88275463,-87.62453528
60646,41,16,41.99592392,-87.78763799
60652,18,8,41.74969024,-87.72123627
60619,6,5,41.72177239,-87.61470316
60623,22,10,41.84414469,-87.72477825
60632,14,9,41.79438342,-87.7034374
60643,19,22,41.72108279,-87.66418596
60628,9,5,41.69322382,-87.62118667
60647,35,14,41.91751848,-87.70576778
60621,16,7,41.77990486,-87.64185815
60639,29,25,41.90942609,-87.78349818
60632,14,8,41.81369495,-87.70465802
60609,3,2,41.79623488,-87.63040492
60613,46,19,41.94861474,-87.64819879
60645,50,24,42.01801744,-87.69033737
60637,5,3,41.77230508,-87.58740138
60625,47,20,41.96869203,-87.68845932
60640,40,20,41.98108996,-87.66852633
60646,41,16,41.99592392,-87.78763799
60609,3,2,41.79623488,-87.63040492
60614,43,18,41.92429206,-87.63951892
60640,47,19,41.96536418,-87.66787952
60638,23,8,41.79867203,-87.74359878
60652,18,8,41.74969024,-87.72123627
60639,37,25,41.90974167,-87.74563748
60625,40,20,41.97576,-87.69249406
60620,21,22,41.72194754,-87.64337198
60619,6,6,41.74356768,-87.62295537
60651,37,15,41.89496969,-87.76440077
60638,23,8,41.79205648,-87.80105899
60617,7,4,41.72833654,-87.55286024
60652,13,8,41.75687639,-87.72232174
60606,2,1,41.87949547,-87.63382966
60641,31,25,41.93872475,-87.74624148
60641,39,17,41.95353736,-87.72769519
60631,41,16,41.98466614,-87.82315865
60639,29,25,41.90942609,-87.78349818
60649,5,4,41.75739621,-87.58625101
60606,2,1,41.87949547,-87.63382966
60629,15,8,41.77842134,-87.70297606
60606,2,1,41.87949547,-87.63382966
60629,13,8,41.78604516,-87.72302643
60634,38,16,41.95997195,-87.76707886
60617,10,4,41.68085614,-87.5399566
60651,29,25,41.90897892,-87.76600935
60651,29,25,41.90897892,-87.76600935
60619,6,5,41.72177239,-87.61470316
60644,28,15,41.8804685,-87.756134
60647,35,14,41.92477742,-87.71169354
60661,27,12,41.88012878,-87.6471646
60621,16,7,41.77990486,-87.64185815
60609,3,9,41.80870195,-87.66558301
60657,32,19,41.93956055,-87.67059269
60609,12,9,41.80804133,-87.68456051
60606,2,1,41.87949547,-87.63382966
60625,47,20,41.96869203,-87.68845932
60649,8,4,41.75150394,-87.57532855
60655,19,22,41.69166492,-87.70175367
60618,33,17,41.96064588,-87.70808151
60616,25,9,41.8529915,-87.63554385
60652,18,8,41.74969024,-87.72123627
60620,21,6,41.75038047,-87.65429993
60654,42,18,41.89363229,-87.63103001
60606,42,1,41.88457398,-87.63508283
60616,25,9,41.8529915,-87.63554385
60602,42,1,41.88310862,-87.62846686
60707,36,25,41.92376935,-87.7876261
60640,40,20,41.98108996,-87.66852633
60640,40,20,41.98108996,-87.66852633
60618,33,17,41.96064588,-87.70808151
60651,37,15,41.89496969,-87.76440077
60620,18,8,41.75006036,-87.68269913
60621,16,7,41.77990486,-87.64185815
60603,42,1,41.8805885,-87.63070954
60630,45,16,41.97530572,-87.76759302
60613,46,19,41.95438385,-87.65419529
60657,44,19,41.94010202,-87.64425441
60624,24,10,41.86623777,-87.71066213
60618,31,17,41.93953549,-87.72480654
60608,25,10,41.8520837,-87.67465102
60632,14,8,41.81369495,-87.70465802
60628,9,5,41.70718218,-87.62036149
60628,9,5,41.70718218,-87.62036149
60611,42,18,41.89641068,-87.6241333
60643,19,22,41.70626826,-87.68097506
60610,42,18,41.90401478,-87.63013572
60657,32,19,41.93956055,-87.67059269
60643,19,22,41.67798852,-87.68057984
60628,34,22,41.70080096,-87.64279017
60643,19,22,41.67798852,-87.68057984
60657,44,19,41.93980098,-87.65416109
60638,23,8,41.77795816,-87.7722942
60639,37,25,41.90955514,-87.76004021
60624,24,10,41.86623777,-87.71066213
60636,18,8,41.76433012,-87.68308688
60632,14,8,41.80777906,-87.72284695
60605,2,1,41.86441117,-87.62720758
60603,42,1,41.87956244,-87.6283392
60611,42,18,41.89029965,-87.62425466
60608,11,9,41.83977195,-87.64646751
60647,35,14,41.93160795,-87.69775578
60628,34,22,41.70080096,-87.64279017
60603,42,1,41.87956244,-87.6283392
60623,22,10,41.84414469,-87.72477825
60660,48,20,41.98425875,-87.66086972
60614,43,18,41.92429206,-87.63951892
60616,4,2,41.8326245,-87.6168411
60616,4,2,41.8326245,-87.6168411
60609,3,2,41.79623488,-87.63040492
60614,32,19,41.93002546,-87.67533354
60609,3,9,41.80881504,-87.64568295
60623,12,10,41.84446925,-87.70193021
60601,42,1,41.88549078,-87.63082227
60608,25,10,41.84722409,-87.68291149
60614,43,18,41.92429206,-87.63951892
60707,36,25,41.92376935,-87.7876261
60609,3,9,41.80870195,-87.66558301
60643,34,5,41.68495486,-87.64347112
60602,42,1,41.88275463,-87.62453528
60619,6,6,41.7580961,-87.62420813
60611,42,18,41.89114733,-87.61839727
60657,44,19,41.93769388,-87.64934142
60660,48,20,41.98425875,-87.66086972
60619,6,6,41.7580961,-87.62420813
60649,5,4,41.75739621,-87.58625101
60628,34,22,41.70080096,-87.64279017
60617,10,4,41.68085614,-87.5399566
60645,50,24,42.01801744,-87.69033737
60617,7,4,41.72236398,-87.57489877
60615,4,2,41.80299057,-87.60657241
60707,36,25,41.92376935,-87.7876261
60609,,,41.82483076,-87.68501528
60639,29,25,41.90942609,-87.78349818
60613,46,19,41.94861474,-87.64819879
60637,5,3,41.77230508,-87.58740138
60647,35,14,41.92477742,-87.71169354
60606,2,1,41.88183547,-87.63389739
60656,41,16,41.97538461,-87.80694898
60639,31,25,41.92411902,-87.74703214
60625,47,20,41.96869203,-87.68845932
60618,33,17,41.95381203,-87.7077171
60647,35,14,41.91751848,-87.70576778
60654,42,18,41.89363229,-87.63103001
60631,41,16,41.98466614,-87.82315865
60611,42,18,41.89029965,-87.62425466
60601,42,1,41.88549078,-87.63082227
60634,38,16,41.94567363,-87.77547129
60619,6,5,41.72177239,-87.61470316
60640,46,19,41.96805305,-87.64947456
60626,49,24,42.01553264,-87.66826811
60634,38,16,41.95997195,-87.76707886
60622,1,14,41.90665738,-87.67187112
60608,11,9,41.8415706,-87.64621926
60634,36,25,41.93804223,-87.79609241
60639,30,25,41.9240902,-87.76605353
60647,30,25,41.93191327,-87.72598057
60630,39,17,41.96834599,-87.72851802
60629,13,8,41.77486501,-87.72884225
60634,36,25,41.93804223,-87.79609241
60647,32,14,41.91060814,-87.67757728
60621,20,7,41.77969238,-87.64142791
60638,23,8,41.79867203,-87.74359878
60630,45,16,41.96687805,-87.76006384
60639,29,25,41.90942609,-87.78349818
60634,38,16,41.93865914,-87.76855864
60612,2,13,41.8812841,-87.68562042
60640,46,19,41.96805305,-87.64947456
60645,50,24,42.01801744,-87.69033737
60639,31,25,41.92411902,-87.74703214
60618,47,19,41.94296486,-87.68832147
60629,13,8,41.76458961,-87.7222396
60654,42,18,41.89363229,-87.63103001
60622,1,14,41.90665738,-87.67187112
60646,41,16,41.99592392,-87.78763799
60630,39,17,41.96834599,-87.72851802
60638,23,8,41.77795816,-87.7722942
60623,22,10,41.84414469,-87.72477825
60654,42,18,41.89645506,-87.63634743
60620,18,6,41.73650146,-87.66322829
60640,47,19,41.96536418,-87.66787952
60640,46,19,41.96685955,-87.64913504
60620,17,6,41.75150626,-87.65422557
60628,34,22,41.70080096,-87.64279017
60661,27,12,41.88012878,-87.6471646
60634,38,16,41.94567363,-87.77547129
60646,41,16,41.99592392,-87.78763799
60640,47,19,41.96536418,-87.66787952
60619,6,6,41.7375814,-87.60499623
60637,20,3,41.77929761,-87.61574988
60632,14,8,41.81369495,-87.70465802
60638,23,8,41.79591839,-87.76178079
60637,20,3,41.77929761,-87.61574988
60617,7,4,41.72833654,-87.55286024
60609,20,9,41.80680851,-87.6736573
